Location,Rural/Urban,School_Category ,School_Management,School_Type ,Total_No_of_Schools,Separate Room for Headmaster,Land Available,Electricity ,Functional Electricity,Solar Panel,Playground,Library or Reading Corner or Book Bank,Librarian,Newspaper,Kitchen Garden,Furniture,Boy's Toilet,Functional Boy's Toilet,Girl's Toilet,Functional Girl's Toilet,Toilet Facility,Functional Toilet Facility,Functional Urinal Boy's,Functional Urinal Girl's,Functional Urinal,Functional Toilet and Urinal,Drinking Water,Functional Drinking Water ,Water Purifier,Rain Water Harvesting,Water Tested,Handwash,Incinerator,"WASH Facility(Drinking Water, Toilet and Handwash)",Ramps,Hand-Rails,Medical Checkup,Complete Medical Checkup,Internet,Computer Available
Karnataka,Rural,HSS (VI-XII),Central Tibetan School,Co-Ed,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
Karnataka,Rural,SS (I-X),Central Tibetan School,Co-Ed,3,3,2,3,3,0,2,3,1,2,0,3,3,3,3,3,3,3,3,2,3,3,3,3,2,1,2,3,0,3,2,2,2,1,2,2
Karnataka,Rural,HSS (I-XII),Central Tibetan School,Co-Ed,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
Karnataka,Urban,HSS (IX-XII),Department of Education,Co-Ed,147,106,108,147,147,31,123,140,6,126,59,136,146,145,146,146,147,147,120,117,129,129,147,145,92,62,88,128,62,128,101,74,147,108,66,145
Karnataka,Urban,HSS (XI-XII),Department of Education,Co-Ed,177,122,74,175,175,14,126,154,17,137,11,171,165,163,175,174,175,174,103,102,115,114,177,159,41,27,33,153,24,150,68,34,171,135,42,98
Karnataka,Rural,SS (IX-X),Department of Education,Co-Ed,2877,1789,2310,2871,2869,530,2572,2767,184,2373,1203,2739,2864,2843,2867,2850,2874,2857,2238,2240,2358,2357,2872,2756,1526,1087,1538,2442,1381,2425,1778,1310,2876,1943,496,2758
Karnataka,Urban,SS (IX-X),Department of Education,Co-Ed,415,285,239,415,415,73,348,395,24,335,144,399,412,412,415,415,415,415,316,311,345,345,414,409,262,156,246,370,183,370,240,162,414,292,123,395
Karnataka,Rural,UPS (I-VIII),Department of Education,Boys,263,135,155,263,263,37,212,251,14,177,74,228,263,260,0,0,263,260,190,0,190,190,262,232,135,100,145,193,54,192,196,171,263,156,18,169
Karnataka,Urban,UPS (I-VIII),Department of Education,Girls,128,67,45,128,128,16,95,124,10,84,43,117,0,0,128,128,128,128,0,95,95,95,128,121,70,41,62,108,49,108,84,69,128,77,4,74
Karnataka,Urban,HSS (IX-XII),Department of Education,Girls,47,37,21,47,47,14,40,46,1,39,16,45,0,0,47,47,47,47,0,31,31,31,47,46,35,19,24,42,23,42,30,21,47,35,17,44
